URL,Lang,Title,Meta description,H1,Words,Image alts,Block types
"/","en","Optavius | The Only AI Voice Agent Built for Eye Care","The only AI voice agent built exclusively for optometry and ophthalmology. Answers every patient call 24/7, books appointments, and handles intake. HIPAA and SOC 1 compliant.","Optavius | The Only AI Voice Agent Built for Eye Care","2376","0","hero|problem|solution|dashboardPreview|howItWorks|testimonials|integration|comparison|homeFaq|cta"
"/about","en","About Optavius: Voice AI for Eye Care Practices","Optavius reduces friction in eye care with AI-powered voice agents for patient calls, routing, and scheduling.","Improving access to vision care","478","0","pageHero|splitProseSection|cardGridSection|expertsIntroSection|profileSection|cardGridSection|cta"
"/ai-voice-agent-eye-clinics","en","AI Voice Agent for Eye Clinics & Optometry Practices | Optavius","AI voice assistant for optometry clinics that answers calls and books appointments automatically. Reduce staff workload by 40% and never miss a patient call again.","AI Voice Agent for Eye Clinics and Optometry Practices","553","0","pageHero|cardGridSection|cardGridSection|metricGridSection|proseSection|faq|cta"
"/automated-appointment-booking-ophthalmology","en","Automated Appointment Booking for Ophthalmology Clinics | Optavius","AI-powered automated appointment booking for ophthalmology clinics. Patients call, the AI qualifies symptoms, selects the right provider, and books automatically.","Automated Appointment Booking for Ophthalmology Clinics","468","0","pageHero|stepFlowSection|metricGridSection|proseSection|proseSection|linkRowSection|faq|cta"
"/compare/ai-voice-agents-optometry-comparison","en","AI Voice Agents for Optometry: 2026 Comparison Guide","Compare AI voice agents for optometry practices in 2026. Side-by-side analysis of Optavius, generic AI, answering services, and other solutions for eye care clinics.","AI Voice Agents for Optometry: 2026 Comparison","620","0","compareArticle"
"/compare/best-ai-tools-eye-clinics","en","Best AI Tools for Eye Clinics 2026 | Complete Guide","Comprehensive guide to the best AI tools for eye clinics in 2026. Compare AI voice agents, scheduling tools, intake automation, and practice management AI for optometry and ophthalmology.","Best AI Tools for Eye Clinics (2026)","628","0","compareArticle"
"/compare/optavius-vs-answering-services","en","Optavius vs. Answering Services for Eye Clinics | Comparison","Compare Optavius's AI voice agent with traditional answering services for optometry and ophthalmology practices. See which solution better handles patient calls, booking, and triage.","Optavius vs. Answering Services: Which Is Right for Your Eye Care Practice?","664","0","compareArticle"
"/compare/optavius-vs-emitrr","en","Optavius vs. Emitrr for Eye Clinics | Comparison","Compare Optavius and Emitrr for optometry and ophthalmology practices. See how a purpose-built eye care AI voice agent compares to a general healthcare communication platform.","Optavius vs. Emitrr: Which Is Right for Your Eye Care Practice?","573","0","compareArticle"
"/compare/optavius-vs-generic-ai","en","Optavius vs. Generic AI Voice Agents for Eye Care | Comparison","Compare Optavius's eye care-specific AI voice agent with generic AI solutions. Learn why optometry and ophthalmology practices need specialized clinical AI for patient calls.","Optavius vs. Generic AI Voice Agents: Which Is Right for Your Eye Care Practice?","641","0","compareArticle"
"/compare/optavius-vs-healow-genie","en","Optavius vs. healow Genie for Eye Care | Comparison","Compare Optavius and healow Genie for optometry and ophthalmology practices. See how a dedicated eye care AI voice agent compares to eClinicalWorks' virtual assistant.","Optavius vs. healow Genie: Which Is Right for Your Eye Care Practice?","586","0","compareArticle"
"/contact","en","Contact Optavius | Book a Demo","Book a demo, ask questions, or get in touch. We respond within 24 hours.","Contact Optavius | Book a Demo","0","0",""
"/cookies","en","Cookie Policy","How Optavius uses cookies and similar technologies.","Cookie Policy","8","0","pageHero|proseSection"
"/demo","en","Request a Demo | AI Voice Agent for Eye Care Practices","See Optavius in action. Request a personalized demo and learn how voice AI can transform patient calls at your practice.","Request a Demo | AI Voice Agent for Eye Care Practices","0","0",""
"/features","en","Features: AI Voice Agent Capabilities for Eye Care","Explore Optavius's full feature set: AI voice conversations, automated booking, patient intake, eye care intelligence, and seamless EHR integration.","Everything your eye clinic needs to automate patient communication","565","0","pageHero|featureGridSection|featureGridSection|featureGridSection|featureGridSection|featureGridSection|cta"
"/how-it-works","en","How It Works | Go Live in Weeks | Optavius","Deploy Optavius's AI voice agent at your eye care practice in 4 to 6 weeks. No EHR integration required. Works with any phone system.","Live in weeks, not months","243","0","pageHero|stepFlowSection|cardGridSection|cardGridSection|cardGridSection|cardGridSection|simpleCtaSection"
