Old URL,New URL,Action,Redirect status (verified 17 September 2026)
"/","/","unchanged","200, self-canonical, indexable"
"/about","/about","unchanged","301 to /about/ (trailing slash, one hop), then 200 self-canonical"
"/pricing","/pricing","unchanged","301 to /pricing/ (trailing slash, one hop), then 200 self-canonical"
"/privacy","/privacy","unchanged","301 to /privacy/ (trailing slash, one hop), then 200 self-canonical"
"/terms","/terms","unchanged","301 to /terms/ (trailing slash, one hop), then 200 self-canonical"
"/demo","/demo","unchanged","301 to /demo/ (trailing slash, one hop), then 200 self-canonical"
"/resources","/resources","unchanged","301 to /resources/ (trailing slash, one hop), then 200 self-canonical"
"/product","/product","unchanged","301 to /product/ (trailing slash, one hop), then 200 self-canonical"
"/features","/product","redirect 301","200 + instant redirect to /product (canonical set)"
"/how-it-works","/product","redirect 301","200 + instant redirect to /product (canonical set)"
"/contact","/demo","redirect 301","200 + instant redirect to /demo (canonical set)"
"/cookies","/cookies","unchanged (page restored)","301 to /cookies/ (trailing slash, one hop), then 200 self-canonical"
"/safety-compliance","/safety-compliance","unchanged (page restored)","301 to /safety-compliance/ (trailing slash, one hop), then 200 self-canonical"
"/solutions/optical-chains","/specialties/optometry","redirect 301","200 + instant redirect to /specialties/optometry (canonical set)"
"/solutions/mso-groups","/specialties/ophthalmology","redirect 301","200 + instant redirect to /specialties/ophthalmology (canonical set)"
"/ai-voice-agent-eye-clinics","/specialties/optometry","redirect 301","200 + instant redirect to /specialties/optometry (canonical set)"
"/automated-appointment-booking-ophthalmology","/specialties/ophthalmology","redirect 301","200 + instant redirect to /specialties/ophthalmology (canonical set)"
"/learn/ai-voice-agent-eye-care","/resources/ai-voice-agent-eye-care","redirect 301","200 + instant redirect to /resources/ai-voice-agent-eye-care (canonical set)"
"/learn/ai-ophthalmology-guide","/resources/ai-ophthalmology-guide","redirect 301","200 + instant redirect to /resources/ai-ophthalmology-guide (canonical set)"
"/learn/ai-optometry-guide","/resources/ai-optometry-guide","redirect 301","200 + instant redirect to /resources/ai-optometry-guide (canonical set)"
"/learn/ai-receptionist-optometry","/resources/ai-receptionist-optometry","redirect 301","200 + instant redirect to /resources/ai-receptionist-optometry (canonical set)"
"/learn/automated-patient-intake-optometry","/resources/automated-patient-intake-optometry","redirect 301","200 + instant redirect to /resources/automated-patient-intake-optometry (canonical set)"
"/compare/ai-voice-agents-optometry-comparison","/resources/ai-voice-agents-optometry-comparison","redirect 301","200 + instant redirect to /resources/ai-voice-agents-optometry-comparison (canonical set)"
"/compare/best-ai-tools-eye-clinics","/resources/best-ai-tools-eye-clinics","redirect 301","200 + instant redirect to /resources/best-ai-tools-eye-clinics (canonical set)"
"/compare/optavius-vs-answering-services","/resources/optavius-vs-answering-services","redirect 301","200 + instant redirect to /resources/optavius-vs-answering-services (canonical set)"
"/compare/optavius-vs-emitrr","/resources/optavius-vs-emitrr","redirect 301","200 + instant redirect to /resources/optavius-vs-emitrr (canonical set)"
"/compare/optavius-vs-generic-ai","/resources/optavius-vs-generic-ai","redirect 301","200 + instant redirect to /resources/optavius-vs-generic-ai (canonical set)"
"/compare/optavius-vs-healow-genie","/resources/optavius-vs-healow-genie","redirect 301","200 + instant redirect to /resources/optavius-vs-healow-genie (canonical set)"
"/nl/about","/nl/about","unchanged","301 to /nl/about/ (trailing slash, one hop), then 200 self-canonical"
"/nl/ai-voice-agent-eye-clinics","/nl/specialties/optometry","redirect 301","200 + instant redirect to /nl/specialties/optometry (canonical set)"
"/nl/automated-appointment-booking-ophthalmology","/nl/specialties/ophthalmology","redirect 301","200 + instant redirect to /nl/specialties/ophthalmology (canonical set)"
"/nl/compare/optavius-vs-answering-services","/nl/resources/optavius-vs-answering-services","redirect 301","200 + instant redirect to /nl/resources/optavius-vs-answering-services (canonical set)"
"/nl/contact","/nl/demo","redirect 301","200 + instant redirect to /nl/demo (canonical set)"
"/nl/cookies","/nl/cookies","unchanged (page restored)","301 to /nl/cookies/ (trailing slash, one hop), then 200 self-canonical"
"/nl/demo","/nl/demo","unchanged","301 to /nl/demo/ (trailing slash, one hop), then 200 self-canonical"
"/nl/features","/nl/product","redirect 301","200 + instant redirect to /nl/product (canonical set)"
"/nl","/nl","unchanged","301 to /nl/ (trailing slash, one hop), then 200 self-canonical"
"/nl/how-it-works","/nl/product","redirect 301","200 + instant redirect to /nl/product (canonical set)"
"/nl/learn/ai-voice-agent-eye-care","/nl/resources/ai-voice-agent-eye-care","redirect 301","200 + instant redirect to /nl/resources/ai-voice-agent-eye-care (canonical set)"
"/nl/solutions/mso-groups","/nl/specialties/ophthalmology","redirect 301","200 + instant redirect to /nl/specialties/ophthalmology (canonical set)"
"/nl/solutions/optical-chains","/nl/specialties/optometry","redirect 301","200 + instant redirect to /nl/specialties/optometry (canonical set)"
"/nl/pricing","/nl/pricing","unchanged","301 to /nl/pricing/ (trailing slash, one hop), then 200 self-canonical"
"/nl/privacy","/nl/privacy","unchanged","301 to /nl/privacy/ (trailing slash, one hop), then 200 self-canonical"
"/nl/product","/nl/product","unchanged","301 to /nl/product/ (trailing slash, one hop), then 200 self-canonical"
"/nl/resources","/nl/resources","unchanged","301 to /nl/resources/ (trailing slash, one hop), then 200 self-canonical"
"/nl/safety-compliance","/nl/safety-compliance","unchanged (page restored)","301 to /nl/safety-compliance/ (trailing slash, one hop), then 200 self-canonical"
"/nl/terms","/nl/terms","unchanged","301 to /nl/terms/ (trailing slash, one hop), then 200 self-canonical"
"/nl/blog","/nl/resources","redirect 301","200 + instant redirect to /nl/resources (canonical set)"
"/nl/blog/ai-voice-agent-oogkliniek","/nl/resources/ai-voice-agent-oogkliniek","redirect 301","200 + instant redirect to /nl/resources/ai-voice-agent-oogkliniek (canonical set)"
"/blog","/resources","redirect 301","200 + instant redirect to /resources (canonical set)"
"/sitemap-index.xml","/sitemap.xml","redirect 301","200 (file served, copy of /sitemap.xml)"
"/sitemap-0.xml","/sitemap.xml","redirect 301","200 (file served, copy of /sitemap.xml)"
"/sitemap-markdown.xml","/sitemap.xml","redirect 301","200 (file served, copy of /sitemap.xml)"
"/.well-known/llm.md","/llms.txt","redirect 301","200 (file served, copy of /llms.txt)"
"/og-image.jpg","/og/en.png","redirect 301","200 (file served, copy of /og/en.png)"
